COUNTRY,GLOBAL MARKET,QUANTITY,S.NO.,SALES CHANNEL,CUSTOMER NAME,PAYMENT METHOD,SALES MODEL,CATEGORY,PAYMENT STATUS,SHIPPING STATUS,UNIT PRICE,TOTAL REVENUE,DISCOUNT AMOUNT,DISCOUNT APPLIED,TAX APPLIED,TAX AMOUNT,NET SALES,GROSS SALES,PROFIT,ORDER DATE,DELIVERY DATE,RATING,REFERRAL SOURCE ,REPEAT PURCHASE,COURIER PARTNER,AVERAGE ORDER VALUE,CITY,CUSTOMER TYPE,DELIVERY TYPE,SUB CATEGORY,CURRENCY,COUPON CODE USED,SOURCE OF TRAFFIC,STOCK AVAILIBILITY,CUSTOMER REVIEW COMMENT,SHIPPING AMOUNT,EMI STATUS,CUSTOMER AGE 
Russia,0.7,154,476,Yandex Market,Noor Anderson,Payment Gateways,B2C,office supplies,Pending,IN TRANSIT,48739,7505806,7310.85,15%,18%,1351045.08,7498495.15,41428.15,6154760.92,20-04-2024,24-04-2024,3.9,Website,no,Shadowfax,48739,Saint Petersburg,NEW,Locker Delivery,Writing Instruments,Russian Ruble,yes,email,no,EXCELLENT,487.39,NO,43
Spain,0.7,266,477,PCComponentes,Imani Barrett,UPI,B2C,computer parts,Refunded,IN TRANSIT,22778,6058948,3416.7,15%,18%,1090610.64,6055531.3,19361.3,4968337.36,21-04-2024,25-04-2024,4.7,app,no,DHL Express,22778,madrid,RETURNING,EXPRESS,Storage Devices,Euro,no,google ads,yes,EXCELLENT,227.78,BNPL (Buy Now Pay Later),36
Turkey,0.6,121,478,N11,Indira Shukla,BNPL,B2C AND C2C,auto parts,Cancelled,RETURNED,27631,3343351,4144.65,15%,18%,601803.18,3339206.35,23486.35,2741547.82,22-04-2024,26-04-2024,3.5,Website,yes,Ecom Express,27631,Ankara,NEW,STANDARD,Brakes,Turkish Lira,no,Influencer blogs,no,WORST,276.31,Debit Card EMI,27
Netherlands,0.5,171,479,Coolblue,Dhruv Bennett,COD,B2C,smartphones,Failed,DELIVERED,49050,8387550,7357.5,15%,18%,1509759,8380192.5,41692.5,6877791,23-04-2024,27-04-2024,1.8,app,yes,Xpressbees,49050,Rotterdam,RETURNING,EXPRESS,Apple,Euro,yes,YouTube ads,yes,GOOD,490.5,EMI Declined,34
Sweden,0.5,218,480,Elgiganten,Ayden Abdul,Payment Gateways,B2C,tv&audio,Refunded,DELIVERED,37998,8283564,5699.7,15%,18%,1491041.52,8277864.3,32298.3,6792522.48,24-04-2024,28-04-2024,4.2,Direct,yes,DTDC,37998,Gothenburg,RETURNING,STANDARD,smart TVs,Swedish Krona,yes,YouTube ads,no,BAD,379.98,Card EMI,25
singapore,0.4,170,481,Amazon SG,Jasper Ali,Debit Card,B2C,fashion,Cancelled,RETURNED,43321,7364570,6498.15,15%,18%,1325622.6,7358071.85,36822.85,6038947.4,25-04-2024,29-04-2024,3,Social Media,yes,FedEx,43321,singapore,RETURNING,Locker Delivery,Sneakers,Dollar,no,Influencer Marketing,yes,GOOD,433.21,Yes,22
France,2.6,192,482,Amazon FR,Amir Patel,Cryptocurreny,B2C AND C2C,Fashion,Paid,IN TRANSIT,47079,9039168,7061.85,15%,18%,1627050.24,9032106.15,40017.15,7412117.76,26-04-2024,30-04-2024,1,Social Media,yes,Blue Dart,47079,Marseille,RETURNING,Next-Day Delivery,Sunglasses,Euro,yes,directly,no,BAD,470.79,NO,20
China,50,141,483,JD.com,Sofia Shepherd,COD,B2C,Appliances,Pending,DELIVERED,41377,5834157,6206.55,15%,18%,1050148.26,5827950.45,35170.45,4784008.74,27-04-2024,01-05-2024,1.5,Direct,yes,FedEx,41377,Shenzhen,RETURNING,International Delivery,Air Conditioners,Chinese Yuan,yes,Social Media,yes,WORST,413.77,BNPL (Buy Now Pay Later),31
US,27,217,484,Amazon,Ronan Desai,Credit Card,B2C AND C2C,ELECTRONICS,Paid,DELIVERED,42484,9219028,6372.6,15%,18%,1659425.04,9212655.4,36111.4,7559602.96,28-04-2024,02-05-2024,2,app,yes,Blue Dart,42484,Los Angeles,NEW,Scheduled Delivery,Earphones & Headphones,Dollar,no,Influencer blogs,no,EXCELLENT,424.84,Yes,30
Japan,3.9,266,485,Rakuten,Leo Hussain,Payment Gateways,B2C AND C2C,BOOKS,Cancelled,DELIVERED,26049,6929034,3907.35,15%,18%,1247226.12,6925126.65,22141.65,5681807.88,29-04-2024,03-05-2024,0.3,Website,yes,Ecom Express,26049,Nagoya,RETURNING,EXPRESS,Business & Finance,Japanese Yen,yes,YouTube ads,yes,GOOD,260.49,NO,39
UK,2.9,217,486,Argos,Bodhi Singh,UPI,B2C,toys,Pending,IN TRANSIT,48369,10496073,7255.35,15%,18%,1889293.14,10488817.65,41113.65,8606779.86,30-04-2024,04-05-2024,3.6,app,no,FedEx,48369,London,NEW,STANDARD,Plush Toys,British Pound Sterling,no,email,no,BAD,483.69,BNPL (Buy Now Pay Later),32
South Korea,4.2,115,487,Coupang,Lila Rahman,BNPL,B2C,baby products,Refunded,RETURNED,33863,3894245,5079.45,15%,18%,700964.1,3889165.55,28783.55,3193280.9,01-05-2024,05-05-2024,4.5,Website,no,DTDC,33863,Seoul,RETURNING,Next-Day Delivery,Baby Wipes,South Korean Won,yes,directly,yes,GOOD,338.63,Yes,41
India,2.4,146,488,Flipkart,Talia Aziz,COD,B2C AND C2C,ELECTRONICS,Cancelled,RETURNED,25749,3759354,3862.35,15%,18%,676683.72,3755491.65,21886.65,3082670.28,02-05-2024,06-05-2024,2.4,Direct,yes,Ecom Express,25749,mumbai,NEW,International Delivery,Streaming Devices,Indian Rupee,no,email,no,WORST,257.49,No,33
Germany,2.1,232,489,media market,Rohan Wells,Payment Gateways,B2C,gaming,Failed,IN TRANSIT,26914,6244048,4037.1,15%,18%,1123928.64,6240010.9,22876.9,5120119.36,03-05-2024,07-05-2024,4,Social Media,no,Ecom Express,26914,Berlin,RETURNING,EXPRESS,playStation,Euro,yes,YouTube ads,yes,EXCELLENT,269.14,Not Available,23
Indonesia,1.2,114,490,Shopee,Norah Mendez,Net Banking,B2C AND C2C,beauty,Refunded,DELIVERED,29125,3320250,4368.75,15%,18%,597645,3315881.25,24756.25,2722605,04-05-2024,08-05-2024,5,Direct,yes,Shadowfax,29125,jakarta,NEW,Locker Delivery,Makeup Kits & Combo,Indonesian Rupiah,no,Social Media,no,GOOD,291.25,Pre-Approved EMI,42
Canada,1.5,260,491,Best Buy,Isabella Coleman,Debit Card,B2C,gaming,Cancelled,IN TRANSIT,25970,6752200,3895.5,15%,18%,1215396,6748304.5,22074.5,5536804,05-05-2024,09-05-2024,2.1,Social Media,no,Xpressbees,25970,vancouver,RETURNING,International Delivery,Mobile Gaming,Dollar,yes,email,yes,BAD,259.7,Card EMI,50
South Korea,4.2,256,492,Gmarket,Silas Castro,Digital Wallets,B2C AND C2C,BOOKS,Paid,RETURNED,39012,9987072,5851.8,15%,18%,1797672.96,9981220.2,33160.2,8189399.04,06-05-2024,10-05-2024,1.6,app,no,Blue Dart,39012,Busan,NEW,Next-Day Delivery,Children’s Books,South Korean Won,no,YouTube ads,no,GOOD,390.12,Debit Card EMI,21
India,2.4,118,493,Jio Mart,Saanvi Foley,BNPL,B2C,daily essentials,Pending,DELIVERED,48889,5768902,7333.35,15%,18%,1038402.36,5761568.65,41555.65,4730499.64,07-05-2024,11-05-2024,2.7,Website,no,FedEx,48889,delhi,RETURNING,STANDARD,Food & Beverages,Indian Rupee,yes,email,yes,WORST,488.89,Bank EMI,40
Germany,2.1,280,494,media market,Liam Flynn,UPI,B2C,audio/video,Paid,IN TRANSIT,41016,11484480,6152.4,15%,18%,2067206.4,11478327.6,34863.6,9417273.6,08-05-2024,12-05-2024,1.2,app,yes,Blue Dart,41016,Hamburg,RETURNING,EXPRESS,Bluetooth Speakers,Euro,no,YouTube ads,no,EXCELLENT,410.16,BNPL (Buy Now Pay Later),47
Indonesia,1.2,108,495,Tokopedia,Ronan Flynn,Digital Wallets,B2C AND C2C,fashion,Cancelled,IN TRANSIT,48918,5283144,7337.7,15%,18%,950965.92,5275806.3,41580.3,4332178.08,09-05-2024,13-05-2024,2.5,Social Media,yes,FedEx,48918,Surabaya,RETURNING,Locker Delivery,Sneakers,Indonesian Rupiah,yes,email,no,GOOD,489.18,EMI Declined,38
Canada,1.5,108,496,Walmart CA,Cruz Sterling,Credit Card,B2C,Grocery,Pending,DELIVERED,38233,4129164,5734.95,15%,18%,743249.52,4123429.05,32498.05,3385914.48,10-05-2024,14-05-2024,1.1,Direct,yes,Shadowfax,38233,Toronto,NEW,EXPRESS,Dairy & Eggs,Dollar,no,YouTube ads,yes,BAD,382.33,BNPL (Buy Now Pay Later),43
Australia,1,186,497,Woolworths,Elina Joshi,Payment Gateways,B2C,pet supplies,Refunded,RETURNED,49969,9294234,7495.35,15%,18%,1672962.12,9286738.65,42473.65,7621271.88,11-05-2024,15-05-2024,2.3,Social Media,no,DHL Express,49969,melbourne,RETURNING,International Delivery,Cat Litter & Accessories,Dollar,yes,Social Media,yes,EXCELLENT,499.69,Debit Card EMI,36
Brazil,1.3,296,498,Mercado Livre,Dhruv Ivanova,COD,B2C AND C2C,ELECTRONICS,Cancelled,IN TRANSIT,33352,9872192,5002.8,15%,18%,1776994.56,9867189.2,28349.2,8095197.44,12-05-2024,16-05-2024,4.6,app,yes,Ecom Express,33352,São Paulo,NEW,Next-Day Delivery,Earphones & Headphones,Brazilian Real,no,email,no,WORST,333.52,Not Available,27
Mexico,1.2,271,499,Liverpool,Avani Walker,Cryptocurreny,B2C,Apparel,Failed,DELIVERED,40689,11026719,6103.35,15%,18%,1984809.42,11020615.65,34585.65,9041909.58,13-05-2024,17-05-2024,4.4,Website,no,Xpressbees,40689,Guadalajara,RETURNING,STANDARD,Baby & Toddler,mexican Peso,yes,directly,no,EXCELLENT,406.89,Not Available,34
italy,0.8,192,500,Zalando,Reina Lim,UPI,B2C,shoes,Refunded,DELIVERED,33190,6372480,4978.5,15%,18%,1147046.4,6367501.5,28211.5,5225433.6,14-05-2024,18-05-2024,1.7,app,yes,Ecom Express,33190,Milan,NEW,EXPRESS,Flip-Flops,Euro,no,email,yes,GOOD,331.9,Pre-Approved EMI,25
Russia,0.7,224,501,Ozon,Maira Mendez,Net Banking,B2C AND C2C,home goods,Cancelled,DELIVERED,39616,8873984,5942.4,15%,18%,1597317.12,8868041.6,33673.6,7276666.88,15-05-2024,19-05-2024,2.9,Website,no,Blue Dart,39616,Moscow,RETURNING,International Delivery,Kitchen & Dining,Russian Ruble,yes,Influencer blogs,no,BAD,396.16,Debit Card EMI,22
Spain,0.7,218,502,El Corte Inglés,Salma Shukla,Debit Card,B2C,Luxury goods,Paid,IN TRANSIT,33231,7244358,4984.65,15%,18%,1303984.44,7239373.35,28246.35,5940373.56,16-05-2024,20-05-2024,3.9,Website,yes,FedEx,33231,Barcelona,NEW,Next-Day Delivery,Luxury Watches,Euro,no,Social Media,no,GOOD,332.31,Yes,29
Turkey,0.6,134,503,Hepsiburada,Isaac Castro,Digital Wallets,B2C,HOME,Pending,RETURNED,30242,4052428,4536.3,15%,18%,729437.04,4047891.7,25705.7,3322990.96,17-05-2024,21-05-2024,4.7,app,no,Blue Dart,30242,Istanbul,RETURNING,EXPRESS,Home Décor,Turkish Lira,yes,Influencer Marketing,yes,WORST,302.42,No,45
Netherlands,0.5,198,504,Bol.com,Lila Gonzalez,BNPL,B2C AND C2C,toys,Paid,RETURNED,20049,3969702,3007.35,15%,18%,714546.36,3966694.65,17041.65,3255155.64,18-05-2024,22-05-2024,3.5,Website,yes,Blue Dart,20049,Amsterdam,NEW,Next-Day Delivery,Dolls & Dollhouses,Euro,no,email,yes,EXCELLENT,200.49,Not Available,49
Sweden,0.5,127,505,CDON,Remy Shepherd,UPI,B2C AND C2C,fitness,Cancelled,IN TRANSIT,46651,5924677,6997.65,15%,18%,1066441.86,5917679.35,39653.35,4858235.14,19-05-2024,23-05-2024,1.8,Social Media,no,Shadowfax,46651,Stockholm,RETURNING,STANDARD,Treadmills,Swedish Krona,yes,directly,no,WORST,466.51,Pre-Approved EMI,48
singapore,0.4,215,506,Qoo10,Noor Gonzalez,Digital Wallets,B2C AND C2C,korean goods,Pending,DELIVERED,49356,10611540,7403.4,15%,18%,1910077.2,10604136.6,41952.6,8701462.8,20-05-2024,24-05-2024,4.2,Direct,yes,DHL Express,49356,singapore,NEW,Next-Day Delivery,Instant Ramen,Dollar,no,email,yes,GOOD,493.56,Card EMI,44
France,2.6,157,507,Fnac,Farah Romano,Credit Card,B2C,Appliances,Refunded,IN TRANSIT,31749,4984593,4762.35,15%,18%,897226.74,4979830.65,26986.65,4087366.26,21-05-2024,25-05-2024,3,Direct,no,Ecom Express,31749,Paris,RETURNING,International Delivery,Refrigerators,Euro,yes,google ads,yes,BAD,317.49,Debit Card EMI,46
Australia,1,177,508,Woolworths,Arjun Yilmaz,Payment Gateways,B2C,household,Cancelled,RETURNED,28138,4980426,4220.7,15%,18%,896476.68,4976205.3,23917.3,4083949.32,22-05-2024,26-05-2024,1,Social Media,yes,Xpressbees,28138,sydney,NEW,EXPRESS,Floor cleaners,Dollar,no,YouTube ads,no,WORST,281.38,Bank EMI,37
Brazil,1.3,264,509,Magalu,Noor Vaughn,COD,B2C,fashion,Failed,DELIVERED,40630,10726320,6094.5,15%,18%,1930737.6,10720225.5,34535.5,8795582.4,23-05-2024,27-05-2024,1.5,Website,no,DTDC,40630,Rio de Janeiro,RETURNING,International Delivery,Sunglasses,Brazilian Real,yes,google ads,yes,EXCELLENT,406.3,BNPL (Buy Now Pay Later),28
Mexico,1.2,262,510,Mercado Libre,Kiara Andrade,Cryptocurreny,B2C AND C2C,sports goods,Refunded,IN TRANSIT,20636,5406632,3095.4,15%,18%,973193.76,5403536.6,17540.6,4433438.24,24-05-2024,28-05-2024,2,app,yes,FedEx,20636,Mexico City,NEW,Next-Day Delivery,Outdoor & Adventure,mexican Peso,no,Social Media,no,GOOD,206.36,EMI Declined,26
italy,0.8,293,511,ePrice,Lara Singh,UPI,B2C,computers,Cancelled,IN TRANSIT,47547,13931271,7132.05,15%,18%,2507628.78,13924138.95,40414.95,11423642.22,25-05-2024,29-05-2024,0.3,app,no,Blue Dart,47547,Rome,RETURNING,EXPRESS,Desktops,Euro,no,email,yes,BAD,475.47,BNPL (Buy Now Pay Later),24
Russia,0.7,147,512,Wildberries,Noah Becker,Debit Card,B2C AND C2C,clothing,Paid,DELIVERED,35625,5236875,5343.75,15%,18%,942637.5,5231531.25,30281.25,4294237.5,26-05-2024,30-05-2024,4.5,Social Media,yes,FedEx,35625,Saint Petersburg,NEW,STANDARD,T-Shirts & Polos,Russian Ruble,no,directly,no,WORST,356.25,Debit Card EMI,19
Spain,0.7,171,513,PCComponentes,Ibrahim Atkinson,Cryptocurreny,B2C,tech gadgets,Pending,RETURNED,39518,6757578,5927.7,15%,18%,1216364.04,6751650.3,33590.3,5541213.96,27-05-2024,31-05-2024,2.4,Website,no,Blue Dart,39518,madrid,RETURNING,International Delivery,Pop Sockets,Euro,yes,Influencer blogs,yes,EXCELLENT,395.18,Not Available,32
Turkey,0.6,162,514,N11,Bodhi Takahashi,COD,B2C AND C2C,auto parts,Paid,IN TRANSIT,37955,6148710,5693.25,15%,18%,1106767.8,6143016.75,32261.75,5041942.2,28-05-2024,01-06-2024,4,Direct,yes,Ecom Express,37955,Ankara,RETURNING,Next-Day Delivery,Engine & Components,Turkish Lira,no,google ads,no,GOOD,379.55,YES,41
Netherlands,0.5,254,515,Coolblue,Anjali Davis,Credit Card,B2C,smartphones,Cancelled,DELIVERED,32840,8341360,4926,15%,18%,1501444.8,8336434,27914,6839915.2,29-05-2024,02-06-2024,5,Direct,yes,Xpressbees,32840,Rotterdam,RETURNING,STANDARD,Samsung,Euro,yes,email,yes,BAD,328.4,NO,40
Sweden,0.5,190,516,Elgiganten,Ezra Hussain,Payment Gateways,B2C,computers,Pending,DELIVERED,41815,7944850,6272.25,15%,18%,1430073,7938577.75,35542.75,6514777,30-05-2024,03-06-2024,2.1,Website,yes,DTDC,41815,Gothenburg,NEW,EXPRESS,Laptops & Notebooks,Swedish Krona,no,Influencer blogs,no,GOOD,418.15,Not Available,47
singapore,0.4,137,517,Qoo10,Ivy Yamada,UPI,B2C AND C2C,korean goods,Refunded,RETURNED,29617,4057529,4442.55,15%,18%,730355.22,4053086.45,25174.45,3327173.78,31-05-2024,04-06-2024,1.6,Website,yes,Shadowfax,29617,singapore,RETURNING,Locker Delivery,Korean Sauces,Dollar,yes,directly,yes,WORST,296.17,Pre-Approved EMI,38
France,2.6,118,518,Cdiscount,Maira Carter,BNPL,B2C,furniture,Cancelled,IN TRANSIT,20333,2399294,3049.95,15%,18%,431872.92,2396244.05,17283.05,1967421.08,01-06-2024,05-06-2024,2.7,Social Media,no,FedEx,20333,Marseille,RETURNING,Scheduled Delivery,Wardrobes,Euro,no,Influencer Marketing,no,EXCELLENT,203.33,Card EMI,43
China,50,206,519,Tmall,Idris Saeed,COD,B2C,Fashion,Failed,DELIVERED,44672,9202432,6700.8,15%,18%,1656437.76,9195731.2,37971.2,7545994.24,02-06-2024,06-06-2024,3.8,app,yes,FedEx,44672,Shanghai,RETURNING,Next-Day Delivery,Sneakers,Chinese Yuan,yes,Social Media,yes,GOOD,446.72,Debit Card EMI,36
US,27,232,520,Walmart,Saanvi Rivera,Payment Gateways,B2C,Apparel,Refunded,RETURNED,29468,6836576,4420.2,15%,18%,1230583.68,6832155.8,25047.8,5605992.32,03-06-2024,07-06-2024,4.9,app,yes,DHL Express,29468,New York City,NEW,International Delivery,Scarves & Stoles,Dollar,no,YouTube ads,no,BAD,294.68,Bank EMI,27
China,50,170,521,Alibaba,Zaina Nair,Debit Card,B2B,Raw materials,Cancelled,IN TRANSIT,20112,3419040,3016.8,15%,18%,615427.2,3416023.2,17095.2,2803612.8,04-06-2024,08-06-2024,3.3,Website,yes,Blue Dart,20112,Shenzhen,RETURNING,International Delivery,metals & Alloys,Chinese Yuan,yes,google ads,yes,GOOD,201.12,BNPL (Buy Now Pay Later),34
US,27,237,522,eBay,Oscar Ferraro,Cryptocurreny,B2C AND C2C,collectibles,Paid,IN TRANSIT,20347,4822239,3052.05,15%,18%,868003.02,4819186.95,17294.95,3954235.98,05-06-2024,09-06-2024,1.2,app,no,Shadowfax,20347,Los Angeles,NEW,Next-Day Delivery,Stamps,Dollar,no,email,no,WORST,203.47,EMI Declined,25
Japan,3.9,178,523,Yahoo! Shopping,Lila Foley,COD,B2C,home goods,Pending,RETURNED,24309,4327002,3646.35,15%,18%,778860.36,4323355.65,20662.65,3548141.64,06-06-2024,10-06-2024,2.5,Direct,yes,DHL Express,24309,Tokyo,RETURNING,Scheduled Delivery,Home Storage & Organization,Japanese Yen,yes,Influencer blogs,yes,EXCELLENT,243.09,BNPL (Buy Now Pay Later),22
UK,2.9,218,524,Amazon UK,Ethan Abdul,Credit Card,B2C AND C2C,BOOKS,Paid,DELIVERED,46880,10219840,7032,15%,18%,1839571.2,10212808,39848,8380268.8,07-06-2024,11-06-2024,1.1,Social Media,no,Ecom Express,46880,Manchester,NEW,Locker Delivery,Children’s Books,British Pound Sterling,no,Influencer Marketing,no,GOOD,468.8,Bank EMI,29
South Korea,4.2,117,525,Coupang,Rohan Dubois,Payment Gateways,B2C,beauty,Cancelled,DELIVERED,25580,2992860,3837,15%,18%,538714.8,2989023,21743,2454145.2,08-06-2024,12-06-2024,2.3,Social Media,no,Xpressbees,25580,Seoul,RETURNING,EXPRESS,Toners & Mists,South Korean Won,no,Social Media,yes,BAD,255.8,BNPL (Buy Now Pay Later),45
India,2.4,251,526,Myntra,Amara Zhang,UPI,B2C,footwear,Pending,RETURNED,25325,6356575,3798.75,15%,18%,1144183.5,6352776.25,21526.25,5212391.5,09-06-2024,13-06-2024,4.6,Direct,no,DTDC,25325,bengaluru,NEW,STANDARD,Ethnic Footwear,Indian Rupee,yes,directly,no,GOOD,253.25,EMI Declined,49
Germany,2.1,154,527,OTTO,Suri Singh,BNPL,B2C,furniture,Refunded,IN TRANSIT,33292,5126968,4993.8,15%,18%,922854.24,5121974.2,28298.2,4204113.76,10-06-2024,14-06-2024,4.4,app,yes,FedEx,33292,Cologne,RETURNING,EXPRESS,Sofas & Couches,Euro,yes,Influencer blogs,yes,WORST,332.92,BNPL (Buy Now Pay Later),48
Indonesia,1.2,211,528,Lazada,Dhruv Andrade,COD,B2C AND C2C,home goods,Cancelled,DELIVERED,26419,5574409,3962.85,15%,18%,1003393.62,5570446.15,22456.15,4571015.38,11-06-2024,15-06-2024,1.7,Website,no,Blue Dart,26419,jakarta,NEW,Locker Delivery,Furniture,Indonesian Rupiah,no,Influencer Marketing,no,EXCELLENT,264.19,Debit Card EMI,44
Canada,1.5,177,529,Walmart CA,Priya Saeed,Payment Gateways,B2C,HOME,Failed,DELIVERED,25997,4601469,3899.55,15%,18%,828264.42,4597569.45,22097.45,3773204.58,12-06-2024,16-06-2024,0.3,Social Media,yes,FedEx,25997,vancouver,RETURNING,EXPRESS,Kitchen & Dining,Dollar,no,Social Media,yes,GOOD,259.97,Not Available,46
Australia,1,145,530,Catch,Zaina Calderon,Net Banking,B2C,toys,Refunded,RETURNED,24045,3486525,3606.75,15%,18%,627574.5,3482918.25,20438.25,2858950.5,13-06-2024,17-06-2024,3.6,Direct,no,Blue Dart,24045,melbourne,NEW,International Delivery,Plush Toys,Dollar,yes,email,no,BAD,240.45,Debit Card EMI,37
Brazil,1.3,111,531,Amazon BR,Hiba Reyes,Debit Card,B2C,home goods,Cancelled,IN TRANSIT,21168,2349648,3175.2,15%,18%,422936.64,2346472.8,17992.8,1926711.36,14-06-2024,18-06-2024,4.5,app,yes,Ecom Express,21168,São Paulo,RETURNING,Next-Day Delivery,Home Décor,Brazilian Real,no,google ads,yes,EXCELLENT,211.68,Bank EMI,28
Mexico,1.2,135,532,Liverpool,Chloe Ivanova,Digital Wallets,B2C,beauty,Paid,DELIVERED,32792,4426920,4918.8,15%,18%,796845.6,4422001.2,27873.2,3630074.4,15-06-2024,19-06-2024,2.4,Website,no,FedEx,32792,Guadalajara,NEW,STANDARD,Makeup Kits & Combo,mexican Peso,no,Social Media,no,WORST,327.92,BNPL (Buy Now Pay Later),26
italy,0.8,229,533,Zalando,Eren Bennett,BNPL,B2C,accessories,Pending,RETURNED,36379,8330791,5456.85,15%,18%,1499542.38,8325334.15,30922.15,6831248.62,16-06-2024,20-06-2024,4,app,yes,DTDC,36379,Milan,RETURNING,EXPRESS,Gloves & Mittens,Euro,yes,Social Media,yes,EXCELLENT,363.79,EMI Declined,24
Russia,0.7,194,534,Ozon,Zaina Mehta,UPI,B2C AND C2C,BOOKS,Paid,IN TRANSIT,27243,5285142,4086.45,15%,18%,951325.56,5281055.55,23156.55,4333816.44,17-06-2024,21-06-2024,5,Social Media,yes,Ecom Express,27243,Moscow,RETURNING,International Delivery,fiction,Russian Ruble,yes,Influencer blogs,no,GOOD,272.43,BNPL (Buy Now Pay Later),19
Spain,0.7,209,535,El Corte Inglés,Alia Martens,Digital Wallets,B2C,Luxury goods,Cancelled,IN TRANSIT,31628,6610252,4744.2,15%,18%,1189845.36,6605507.8,26883.8,5420406.64,18-06-2024,22-06-2024,2.1,Website,yes,Ecom Express,31628,Barcelona,NEW,Next-Day Delivery,Designer Handbags,Euro,no,Social Media,no,BAD,316.28,Debit Card EMI,32
Turkey,0.6,193,536,Trendyol,Anjali Shukla,Credit Card,B2C,fashion,Pending,RETURNED,40368,7791024,6055.2,15%,18%,1402384.32,7784968.8,34312.8,6388639.68,19-06-2024,23-06-2024,1.6,app,no,Shadowfax,40368,Istanbul,RETURNING,EXPRESS,Sneakers,Turkish Lira,yes,YouTube ads,no,GOOD,403.68,Not Available,41
Netherlands,0.6,168,537,Bol.com,Silas Kumar,Payment Gateways,B2C AND C2C,Toys,Refunded,DELIVERED,45639,7667352,6845.85,15%,18%,1380123.36,7660506.15,38793.15,6287228.64,20-06-2024,24-06-2024,2.7,Direct,no,Xpressbees,45639,Amsterdam,NEW,Next-Day Delivery,Dolls & Dollhouses,Euro,yes,directly,yes,WORST,456.39,Pre-Approved EMI,33
Sweden,0.5,112,538,cdon,Kairo Hollis,COD,B2C AND C2C,fitness,Cancelled,DELIVERED,26653,2985136,3997.95,15%,18%,537324.48,2981138.05,22655.05,2447811.52,21-06-2024,25-06-2024,1.2,Social Media,yes,Blue Dart,26653,Stockholm,RETURNING,STANDARD,Yoga Mats,Swedish Krona,no,Social Media,no,EXCELLENT,266.53,Card EMI,23
singapore,0.4,155,539,Amazon SG,Amir Patel,Cryptocurreny,B2C,Grocery,Failed,RETURNED,29060,4504300,4359,15%,18%,810774,4499941,24701,3693526,22-06-2024,26-06-2024,2.5,Direct,yes,FedEx,29060,singapore,NEW,Next-Day Delivery,fruits & Vegetables,Dollar,yes,google ads,yes,WORST,290.6,Debit Card EMI,42
France,2.6,183,540,Amazon FR,Dhruv Banerjee,UPI,B2C AND C2C,home goods,Refunded,IN TRANSIT,25166,4605378,3774.9,15%,18%,828968.04,4601603.1,21391.1,3776409.96,23-06-2024,27-06-2024,1.1,Social Media,no,FedEx,25166,Marseille,RETURNING,International Delivery,Home Storage & Organization,Euro,no,email,no,GOOD,251.66,Yes,50
Australia,1,157,541,Woolworths,Ethan Qureshi,Net Banking,B2C,pet supplies,Cancelled,DELIVERED,33583,5272531,5037.45,15%,18%,949055.58,5267493.55,28545.55,4323475.42,24-06-2024,28-06-2024,2.3,app,yes,DHL Express,33583,sydney,NEW,EXPRESS,Dog Food,Dollar,yes,Influencer blogs,yes,BAD,335.83,BNPL (Buy Now Pay Later),21
Brazil,1.3,146,542,Mercado Livre,Ibrahim Lim,Debit Card,B2C AND C2C,auto parts,Paid,DELIVERED,27801,4058946,4170.15,15%,18%,730610.28,4054775.85,23630.85,3328335.72,25-06-2024,29-06-2024,4.6,Website,yes,Blue Dart,27801,Rio de Janeiro,RETURNING,International Delivery,Brakes,Brazilian Real,no,YouTube ads,no,WORST,278.01,Debit Card EMI,47
Mexico,1.2,111,543,Mercado Libre,Ronan Kassem,Digital Wallets,B2C AND C2C,ELECTRONICS,Pending,DELIVERED,27845,3090795,4176.75,15%,18%,556343.1,3086618.25,23668.25,2534451.9,26-06-2024,30-06-2024,4.4,app,no,FedEx,27845,Mexico City,NEW,Next-Day Delivery,Streaming Devices,mexican Peso,yes,Influencer Marketing,yes,EXCELLENT,278.45,EMI Declined,38
italy,0.8,261,544,ePrice,Ava Kumar,BNPL,B2C,tech gadgets,Paid,IN TRANSIT,24473,6387453,3670.95,15%,18%,1149741.54,6383782.05,20802.05,5237711.46,27-06-2024,01-07-2024,1.7,Website,no,Shadowfax,24473,Rome,RETURNING,EXPRESS,Soundbars,Euro,no,directly,no,GOOD,244.73,Card EMI,43
Russia,0.7,113,545,Yandex Market,Mira Mori,UPI,B2C,personal care,Cancelled,RETURNED,24374,2754262,3656.1,15%,18%,495767.16,2750605.9,20717.9,2258494.84,28-06-2024,02-07-2024,2.9,Direct,yes,DHL Express,24374,Saint Petersburg,NEW,STANDARD,Skin Care,Russian Ruble,yes,email,yes,BAD,243.74,Yes,36
Spain,0.7,124,546,PCComponentes,Yusuf Takahashi,Digital Wallets,B2C,computer parts,Pending,RETURNED,47813,5928812,7171.95,15%,18%,1067186.16,5921640.05,40641.05,4861625.84,29-06-2024,03-07-2024,3.9,Social Media,no,Ecom Express,47813,madrid,RETURNING,International Delivery,Networking Devices,Euro,no,YouTube ads,no,GOOD,478.13,No,27
